强制启用CUDA训练
### Using CUDA: True
Start loading the data....
  - Found cached train data
  - Found cached valid data
  - Found cached test data
Finish loading the data....
Epoch  1 | Batch  30/677 | Time/Batch(ms) 587.16 | Train Loss 0.9474
Epoch  1 | Batch  60/677 | Time/Batch(ms) 502.32 | Train Loss 0.9639
Epoch  1 | Batch  90/677 | Time/Batch(ms) 525.51 | Train Loss 0.9230
Epoch  1 | Batch 120/677 | Time/Batch(ms) 505.02 | Train Loss 0.8692
Epoch  1 | Batch 150/677 | Time/Batch(ms) 507.71 | Train Loss 0.8456
Epoch  1 | Batch 180/677 | Time/Batch(ms) 509.32 | Train Loss 0.8766
Epoch  1 | Batch 210/677 | Time/Batch(ms) 537.23 | Train Loss 0.8286
Epoch  1 | Batch 240/677 | Time/Batch(ms) 466.63 | Train Loss 0.8194
Epoch  1 | Batch 270/677 | Time/Batch(ms) 537.13 | Train Loss 0.8435
Epoch  1 | Batch 300/677 | Time/Batch(ms) 483.31 | Train Loss 0.8969
Epoch  1 | Batch 330/677 | Time/Batch(ms) 521.36 | Train Loss 0.8462
Epoch  1 | Batch 360/677 | Time/Batch(ms) 506.89 | Train Loss 0.7872
Epoch  1 | Batch 390/677 | Time/Batch(ms) 521.00 | Train Loss 0.8399
Epoch  1 | Batch 420/677 | Time/Batch(ms) 509.82 | Train Loss 0.7701
Epoch  1 | Batch 450/677 | Time/Batch(ms) 494.75 | Train Loss 0.7905
Epoch  1 | Batch 480/677 | Time/Batch(ms) 537.20 | Train Loss 0.7866
Epoch  1 | Batch 510/677 | Time/Batch(ms) 498.46 | Train Loss 0.7647
Epoch  1 | Batch 540/677 | Time/Batch(ms) 499.10 | Train Loss 0.7599
Epoch  1 | Batch 570/677 | Time/Batch(ms) 538.28 | Train Loss 0.7534
Epoch  1 | Batch 600/677 | Time/Batch(ms) 484.46 | Train Loss 0.7506
Epoch  1 | Batch 630/677 | Time/Batch(ms) 533.99 | Train Loss 0.7377
Epoch  1 | Batch 660/677 | Time/Batch(ms) 501.24 | Train Loss 0.7050
--------------------------------------------------
Epoch  1 | Time 358.5581 sec | Valid Loss 0.7023 | Test Loss 0.7249
--------------------------------------------------
Saved model at pre_trained_models/mult.pt!
Epoch  2 | Batch  30/677 | Time/Batch(ms) 509.20 | Train Loss 0.7685
